Cluster_Name	number_cells_w_driver_mutation
C3L-00004-T1_C1	0
C3L-00004-T1_C2	1
C3L-00004-T1_C3	0
C3L-00004-T1_C4	0
C3L-00010-T1_C1	4
C3L-00010-T1_C2	0
C3L-00010-T1_C3	0
C3L-00010-T1_C4	0
C3L-00026-T1_C1	0
C3L-00026-T1_C2	0
C3L-00026-T1_C3	0
C3L-00026-T1_C4	0
C3L-00026-T1_C5	0
C3L-00079-T1_C1	0
C3L-00079-T1_C2	0
C3L-00079-T1_C3	1
C3L-00079-T1_C4	5
C3L-00079-T1_C5	0
C3L-00088-T1_C1	3
C3L-00088-T1_C2	0
C3L-00088-T1_C3	0
C3L-00088-T1_C4	0
C3L-00088-T2_C1	2
C3L-00088-T2_C2	1
C3L-00088-T2_C3	0
C3L-00088-T2_C4	0
C3L-00088-T2_C5	0
C3L-00096-T1_C1	0
C3L-00096-T1_C2	0
C3L-00096-T1_C3	0
C3L-00096-T1_C4	0
C3L-00096-T1_CNA	0
C3L-00359-T1_C1	0
C3L-00359-T1_C2	0
C3L-00359-T1_C3	0
C3L-00359-T1_C4	0
C3L-00359-T1_C5	0
C3L-00359-T1_CNA	0
C3L-00416-T1_C1	0
C3L-00416-T1_C10	0
C3L-00416-T1_C2	0
C3L-00416-T1_C3	0
C3L-00416-T1_C4	0
C3L-00416-T1_C5	0
C3L-00416-T1_C6	0
C3L-00416-T1_C7	0
C3L-00416-T1_C8	0
C3L-00416-T1_C9	0
C3L-00416-T2_C1	0
C3L-00416-T2_C2	0
C3L-00416-T2_C3	0
C3L-00416-T2_C4	1
C3L-00416-T2_C5	0
C3L-00448-T1_C1	1
C3L-00448-T1_C2	0
C3L-00448-T1_C3	0
C3L-00448-T1_C4	0
C3L-00448-T1_C5	0
C3L-00583-T1_C1	7
C3L-00583-T1_C2	0
C3L-00583-T1_C3	0
C3L-00583-T1_C4	0
C3L-00583-T1_C5	0
C3L-00610-T1_C1	3
C3L-00610-T1_C2	0
C3L-00610-T1_C3	0
C3L-00790-T1_C1	8
C3L-00790-T1_C2	0
C3L-00790-T1_C3	0
C3L-00813-T1_C1	0
C3L-00813-T1_C2	0
C3L-00813-T1_C3	0
C3L-00813-T1_C4	0
C3L-00813-T1_C5	0
C3L-00813-T1_C6	0
C3L-00908-T1_C1	0
C3L-00908-T1_C2	0
C3L-00908-T1_C3	0
C3L-00917-T1_C1	0
C3L-00917-T1_C2	0
C3L-00917-T1_C3	0
C3L-00917-T1_C4	0
C3L-01287-T1_C1	0
C3L-01287-T1_C2	0
C3L-01287-T1_C3	0
C3L-01287-T1_C4	0
C3L-01302-T1_C1	1
C3L-01302-T1_C2	0
C3L-01302-T1_C3	0
C3L-01302-T1_C4	0
C3L-01302-T1_C5	0
C3L-01313-T1_C1	2
C3L-01313-T1_C2	1
C3L-01313-T1_C3	0
C3L-01313-T1_C4	1
C3L-01313-T1_C5	0
C3L-01313-T1_C6	0
C3L-01313-T1_C7	0
C3N-00177-T1_C1	0
C3N-00177-T1_C2	0
C3N-00242-T1_C1	2
C3N-00242-T1_C2	0
C3N-00242-T1_C3	0
C3N-00242-T1_C4	1
C3N-00317-T1_C1	5
C3N-00317-T1_C2	1
C3N-00317-T1_C3	0
C3N-00317-T1_C4	0
C3N-00317-T1_C5	0
C3N-00317-T1_C6	0
C3N-00437-T1_C1	6
C3N-00437-T1_C2	2
C3N-00437-T1_C3	0
C3N-00437-T1_C4	1
C3N-00437-T1_C5	0
C3N-00495-T1_C1	0
C3N-00495-T1_C2	0
C3N-00495-T1_C3	0
C3N-00495-T1_C4	0
C3N-00733-T1_C1	3
C3N-00733-T1_C2	3
C3N-00733-T1_C3	0
C3N-00733-T1_C4	0
C3N-00733-T1_C5	1
C3N-00733-T2_C1	0
C3N-00733-T2_C2	5
C3N-00733-T2_C3	0
C3N-00733-T2_C4	0
C3N-00733-T2_C5	0
C3N-01200-T1_C1	0
C3N-01200-T1_C2	0
C3N-01200-T1_C3	0
C3N-01200-T1_C4	0
C3N-01200-T1_C5	0
C3N-01200-T1_C6	0
C3N-01200-T1_C7	0
C3N-01200-T2_C1	0
C3N-01200-T2_C2	0
C3N-01200-T2_C3	0
C3N-01200-T3_C1	0
C3N-01200-T3_C2	0
C3N-01200-T3_C3	0
C3N-01213-T1_C1	0
C3N-01213-T1_C2	1
C3N-01213-T1_C3	0
C3N-01213-T1_C4	0
C3N-01213-T1_C5	0
