avg_log2FC	pct.1	pct.2	Gene
-0.0524462409942285	0.208	0.211	PLCXD1
-0.0663431673321351	0.414	0.391	GTPBP6
-0.0698785954671821	0.332	0.321	PPP2R3B
-0.00866839671462651	0.063	0.055	SHOX
-0.0108273224739389	0.102	0.095	CRLF2
-0.24343656735889	0.109	0.201	CSF2RA
-0.10351007303131	0.128	0.169	IL3RA
-0.0425943400257717	0.347	0.322	SLC25A6
-0.129443067679093	0.489	0.485	ASMTL
-0.581250027036294	0.219	0.425	P2RY8
-0.048635572682741	0.212	0.209	AKAP17A
-0.0309720438048903	0.053	0.063	ASMT
0.255100174881092	0.646	0.479	DHRSX
0.0280717214219573	0.218	0.168	ZBED1
0.0644346898530934	0.442	0.338	CD99
-0.0335670502644126	0.098	0.097	XG
-0.00530135346445992	0.075	0.065	GYG2
0.0620450727454902	0.266	0.187	ARSD
0.0572124297767027	0.149	0.081	ARSE
-0.00792464954507435	0.029	0.029	ARSH
0.0760109374484156	0.164	0.083	ARSF
0.0386197756070629	0.124	0.075	MXRA5
-0.0233464207717055	0.402	0.359	PRKX
-0.00100228127241392	0.275	0.219	NLGN4X
-0.000106451872695212	0.002	0.002	VCX3A
-0.0622980374092963	0.311	0.285	PUDP
-0.0956462628578047	0.12	0.148	STS
-0.000784270891129965	0.004	0.004	VCX
-0.0118953015116527	0.139	0.119	PNPLA4
-0.000237609841595091	0.001	0.001	VCX2
-0.000518865115450835	0.001	0.002	VCX3B
-0.120515719635273	0.151	0.186	ANOS1
-0.00198226214247107	0.016	0.014	FAM9A
0.0142827210015911	0.192	0.145	FAM9B
0.307815530784836	0.673	0.462	TBL1X
-0.0251682104642098	0.152	0.132	GPR143
0.166630922691038	0.468	0.303	SHROOM2
-0.00159234682935018	0.004	0.005	CLDN34
0.116802612095638	0.536	0.402	WWC3
0.0446583239771787	0.311	0.226	CLCN4
0.187824301211326	0.483	0.296	MID1
-0.0178903075463107	0.102	0.098	HCCS
-0.00535928978036171	0.011	0.013	AMELX
-0.0266826272419233	0.235	0.209	MSL3
-0.0408018781184835	0.107	0.114	PRPS2
-0.0491581018216054	0.039	0.064	TLR7
-0.0369029544159551	0.022	0.044	TLR8
-0.0476996491621735	0.116	0.126	TMSB4X
-0.0113986084648807	0.017	0.022	FAM9C
-0.000912902283255584	0.004	0.004	ATXN3L
0.0361152041417678	0.117	0.067	EGFL6
0.0658641535603913	0.281	0.198	TCEANC
0.0278023301572582	0.207	0.155	RAB9A
-0.0257432457714952	0.194	0.171	TRAPPC2
-0.0218812773610967	0.246	0.216	OFD1
0.00339087313627962	0.224	0.179	GPM6B
0.0231616287277359	0.153	0.115	GEMIN8
0.0227954760258413	0.186	0.126	GLRA2
-0.00976473780728981	0.21	0.177	FANCB
-0.0148309037665877	0.227	0.194	MOSPD2
0.0881422430266274	0.189	0.096	ASB9
-0.0362246231262487	0.066	0.077	ASB11
-0.00810802592090859	0.183	0.154	PIGA
-0.0239008010012806	0.04	0.048	VEGFD
0.00777200890399507	0.196	0.152	PIR
0.0250328381985737	0.205	0.151	BMX
0.0455750585918237	0.122	0.067	ACE2
0.0379603973422717	0.106	0.06	TMEM27
-0.0730703731584452	0.346	0.322	CA5B
-0.10162512070766	0.134	0.17	ZRSR2
-0.0544175005123454	0.237	0.228	AP1S2
-0.00374065641747284	0.053	0.044	GRPR
-0.00505610745346854	0.014	0.014	MAGEB17
0.0293530603535887	0.251	0.192	CTPS2
-0.000955110293831397	0.011	0.009	S100G
-0.0126781723269673	0.247	0.213	SYAP1
0.0615368356890221	0.343	0.256	TXLNG
-0.018914921812982	0.261	0.227	RBBP7
0.263862938878603	0.501	0.302	REPS2
0.397113901869406	0.736	0.474	NHS
0.0596441139767139	0.224	0.152	SCML1
0.162405193486902	0.266	0.125	RAI2
-0.0100097880173503	0.046	0.042	BEND2
-0.0214675495928109	0.115	0.101	SCML2
0.0371655969124722	0.401	0.313	CDKL5
-0.040111214551805	0.067	0.077	RS1
0.09026715869812	0.322	0.214	PPEF1
0.163711968813534	0.41	0.259	PHKA2
0.00859149732373704	0.172	0.13	ADGRG2
-0.0159176805319204	0.195	0.171	PDHA1
-0.0644859336459633	0.186	0.183	MAP3K15
-0.435559718280436	0.439	0.53	SH3KBP1
-0.00923654853089878	0.07	0.063	CXorf23
0.14954604455201	0.316	0.173	MAP7D2
-0.0413845802340818	0.197	0.185	EIF1AX
-0.043435883851171	0.334	0.3	RPS6KA3
-0.0629879398798809	0.138	0.146	CNKSR2
-0.0110851903467855	0.015	0.02	KLHL34
0.044926736295401	0.14	0.079	SMPX
-0.0285213940334656	0.133	0.127	MBTPS2
-0.00181249219467769	0.007	0.007	YY2
-0.0274259407405026	0.311	0.272	SMS
0.0465164247278704	0.297	0.219	PHEX
-0.000585093435953141	0.005	0.004	ZNF645
-0.00120663390072873	0.006	0.005	DDX53
-0.00471390396280988	0.088	0.071	PTCHD1
0.0189133832076429	0.155	0.116	PRDX4
-0.0193324947474156	0.282	0.239	ACOT9
-0.0110615831203879	0.201	0.176	SAT1
-0.113220313847662	0.307	0.309	APOO
-0.0366238821180097	0.188	0.176	CXorf58
0.0148940138767242	0.249	0.2	KLHL15
0.00538242318261001	0.209	0.173	EIF2S3
-0.0435491393864188	0.291	0.266	ZFX
-0.0342664529869826	0.275	0.246	PDK3
-0.0143892697894244	0.129	0.112	PCYT1B
-0.0158586360921153	0.335	0.281	POLA1
0.00238720391673133	0.078	0.062	ARX
-0.000849073703619785	0.005	0.005	MAGEB18
-0.00106649359241969	0.006	0.006	MAGEB6P1
-0.00200862710429352	0.007	0.007	MAGEB6
-0.00181155969012667	0.006	0.006	MAGEB5
5.71251285119007e-05	0.006	0.005	PPP4R3CP
-0.0278213890991045	0.094	0.087	DCAF8L2
-0.00341285831956543	0.028	0.023	MAGEB10
-0.00101892827022937	0.006	0.006	DCAF8L1
-0.00314962786159173	0.012	0.012	MAGEB2
-0.000932676735510162	0.014	0.012	MAGEB3
-2.82793819711327e-05	0.006	0.005	MAGEB4
-0.00266488078647199	0.018	0.015	MAGEB1
-0.00299146656035792	0.017	0.015	NR0B1
-0.0435486478307533	0.063	0.08	CXorf21
-0.0527787528790007	0.284	0.257	GK
0.0146290431377293	0.371	0.299	TAB3
-0.000856001427594849	0.004	0.004	FTHL17
-0.000753270168295687	0.006	0.005	FAM47A
0.10276458683716	0.193	0.094	TMEM47
-0.00137038764104353	0.006	0.005	FAM47B
-0.00242619433856381	0.015	0.013	MAGEB16
-0.0615260579775204	0.212	0.191	CFAP47
-0.00106052797506665	0.007	0.006	FAM47C
0.0745575279357409	0.24	0.146	PRRG1
-0.0233192191198502	0.101	0.09	LANCL3
-0.0166505797405245	0.064	0.06	XK
-0.0980009466012019	0.04	0.093	CYBB
0.00939526080958451	0.108	0.085	DYNLT3
-3.50333934825259e-05	0.003	0.003	HYPM
-0.0297833195223046	0.087	0.086	SYTL5
-0.025834050975639	0.088	0.086	SRPX
0.00343466416702409	0.191	0.158	RPGR
-0.0368833792764464	0.051	0.064	OTC
-0.0691505763740994	0.185	0.188	TSPAN7
0.102790428443839	0.321	0.211	MID1IP1
0.0384449962311986	0.677	0.571	BCOR
-0.0381801843449642	0.165	0.16	ATP6AP2
0.0171450809099827	0.031	0.013	MPC1L
-0.0141258844706399	0.226	0.195	CXorf38
-0.00308799346514854	0.299	0.251	MED14
-0.0447500619841614	0.451	0.404	USP9X
-0.0666100893531219	0.275	0.269	DDX3X
0.0970336563166815	0.208	0.111	NYX
-0.108176007122	0.513	0.472	CASK
-0.0385616651549034	0.015	0.039	GPR34
-0.0122522286815289	0.008	0.016	GPR82
-0.000357239068880439	0.001	0.001	AL023875.1
-0.00456651510357442	0.004	0.006	PPP1R2P9
0.293110022779604	0.485	0.273	MAOA
0.212077832424237	0.327	0.147	MAOB
0.0310729734640457	0.089	0.052	NDP
0.158513602496303	0.336	0.193	EFHC2
-0.0118505252530924	0.13	0.112	FUNDC1
-0.00101412261798234	0.003	0.004	DUSP21
-0.065167444925407	0.445	0.41	KDM6A
-0.0451339223628516	0.08	0.089	CXorf36
-0.0172301702292812	0.13	0.118	KRBOX4
-0.0165612108278023	0.135	0.12	ZNF674
-0.10820794904946	0.079	0.137	CHST7
-0.143346054656018	0.248	0.28	SLC9A7
-0.016008255659848	0.202	0.178	RP2
0.0406136385316114	0.29	0.211	JADE3
0.0185849087205611	0.083	0.054	RGN
0.00850389714569511	0.188	0.154	NDUFB11
-0.00438006615979036	0.27	0.227	RBM10
-0.0391626766798638	0.267	0.24	UBA1
-0.0389745483043201	0.321	0.285	CDK16
-0.0221742186688459	0.221	0.2	USP11
-0.0353146737835395	0.067	0.076	ZNF157
0.0160837852219375	0.153	0.118	ZNF41
0.0110111668010629	0.203	0.164	ARAF
0.0142503688897037	0.268	0.207	SYN1
0.0499674073196141	0.134	0.078	TIMP1
-0.027790172034894	0.029	0.042	CFP
0.0304320616779453	0.284	0.223	ELK1
0.0411491021382948	0.221	0.159	UXT
0.0283053276415348	0.127	0.089	AL022578.1
0.0589762082556903	0.313	0.222	ZNF81
0.01228736502018	0.135	0.105	ZNF182
0.0134967795685568	0.313	0.253	ZNF630
0.00933433345364817	0.101	0.079	SPACA5
-0.000128987234616587	0.001	0.001	SPACA5B
-0.00321529082273393	0.014	0.013	SSX5
-0.00213647454793844	0.012	0.011	SSX1
-0.00175098763435849	0.013	0.011	SSX3
-1.29268904321251e-05	0	0	SSX4
2.63282054468156e-05	0	0	SSX4B
-0.021320576410687	0.051	0.055	SLC38A5
-0.0530052463312371	0.109	0.124	FTSJ1
-0.0284108231678501	0.1	0.101	PORCN
-0.0220443618323347	0.108	0.103	EBP
0.00352192497543102	0.238	0.195	TBC1D25
0.0100226014554909	0.161	0.131	RBM3
0.189033092418723	0.362	0.205	WDR13
-0.0490748514171283	0.223	0.21	WAS
-0.0163116073075318	0.162	0.143	SUV39H1
0.00296438431953326	0.043	0.032	GLOD5
-0.00866759279979613	0.025	0.026	GATA1
0.0392306844864605	0.378	0.298	HDAC6
-0.00841256222599885	0.017	0.02	ERAS
-0.0172310050950261	0.033	0.038	PCSK1N
0.0192236604107331	0.203	0.158	TIMM17B
0.0165682431319827	0.204	0.16	PQBP1
-0.00902318530978238	0.112	0.097	SLC35A2
0.0146709446327412	0.251	0.198	PIM2
-0.106422219772282	0.324	0.318	OTUD5
-0.0233925959754001	0.055	0.061	KCND1
-0.0386072568408542	0.137	0.135	GRIPAP1
0.0583489621921859	0.366	0.275	TFE3
-0.0149944193326408	0.126	0.112	CCDC120
-0.0234575295341637	0.13	0.124	PRAF2
0.0328035916545185	0.355	0.281	WDR45
-0.0208296076736081	0.102	0.097	GPKOW
0.0168867032670813	0.153	0.119	AC231657.1
0.00607118301040577	0.231	0.203	MAGIX
-0.0180739535880042	0.086	0.087	PLP2
0.0554756944849116	0.223	0.161	PRICKLE3
0.0138016434693332	0.358	0.292	SYP
-0.0121739325286228	0.137	0.119	CACNA1F
-0.030967111799143	0.1	0.101	CCDC22
-0.0406004281849463	0.049	0.064	FOXP3
-0.0439552549291855	0.303	0.273	PPP1R3F
-0.0361435795516912	0.03	0.05	GAGE10
-0.000648962900154682	0.001	0.001	GAGE12J
-0.00035824913458159	0.001	0.001	GAGE13
-7.56176250887998e-05	0.002	0.002	GAGE2E
0	0	0	GAGE12B
-1.27611956394588e-05	0	0	GAGE12C
0	0	0	GAGE12D
-8.55752992184989e-06	0	0	GAGE12E
1.10502041601134e-05	0	0	GAGE12F
-7.64074418994356e-06	0	0	GAGE12G
-0.000107176248762602	0	0	GAGE12H
-0.00151670630870091	0.007	0.006	GAGE1
-0.000633161254267301	0.003	0.003	GAGE2A
-0.00188998851396881	0.01	0.009	PAGE1
-0.00124137592512265	0.008	0.007	PAGE4
0.0492322602279377	0.169	0.111	USP27X
0.0166617970305689	0.376	0.297	CLCN5
-0.0084382674244543	0.02	0.023	AKAP4
-0.0189953779956248	0.127	0.114	CCNB3
-0.0294360946790805	0.103	0.096	DGKK
0.101873921761794	0.377	0.235	SHROOM4
-0.00551040646317543	0.011	0.012	BMP15
-0.00669647480864244	0.024	0.024	NUDT10
-0.00190318908710236	0.008	0.007	CXorf67
0.00251781021127715	0.026	0.021	NUDT11
-0.000789708843661386	0.003	0.004	CENPVL3
0	0	0	CENPVL2
-1.48704072493457e-05	0	0	CENPVL1
-0.00118715381274744	0.041	0.036	GSPT2
0.0386749744865977	0.248	0.18	MAGED1
0	0	0	MAGED4B
0	0	0	MAGED4
-0.00217590302776143	0.007	0.007	XAGE2
-9.90675509081433e-06	0	0	XAGE1A
-3.95241165156358e-05	0	0	XAGE1B
0.00127405107875054	0.017	0.012	SSX7
0	0	0	SSX2
-0.000666495127429518	0.002	0.002	SSX2B
2.65105136162979e-05	0.003	0.003	SPANXN5
-0.00216779302727977	0.008	0.008	XAGE5
0.00294852893733473	0.015	0.011	XAGE3
1.76405294353295e-05	0	0	FAM156B
0.0701210517914687	0.358	0.265	FAM156A
0.0205294863063382	0.15	0.114	GPR173
0.0819730648891361	0.256	0.172	TSPYL2
-0.0419908952483215	0.154	0.149	KDM5C
-0.0514291063341061	0.379	0.33	IQSEC2
-0.0229939072480445	0.268	0.232	SMC1A
0.00204581314392011	0.224	0.183	RIBC1
0.0058265026192052	0.105	0.082	HSD17B10
-0.0263990820210993	0.4	0.346	HUWE1
0.0156894473565131	0.354	0.288	PHF8
-0.0346054388814528	0.204	0.185	FAM120C
-0.0232411597546376	0.161	0.142	WNK3
-0.0106519226376015	0.064	0.061	TSR2
-0.0453216625806969	0.13	0.129	FGD1
-0.0258508967065292	0.159	0.144	GNL3L
-0.0237998117086383	0.057	0.059	ITIH6
0.05368069600455	0.231	0.159	MAGED2
-0.0117154261198179	0.047	0.047	TRO
0.00116655792379294	0.225	0.184	PFKFB1
0.0106932813564185	0.207	0.164	APEX2
-0.01118895752855	0.041	0.039	ALAS2
-0.000947604174628944	0.004	0.004	PAGE2B
-0.000668438871286117	0.003	0.003	PAGE2
0.00743290827073378	0.16	0.129	FAM104B
-0.000424161980053918	0.003	0.003	MTRNR2L10
-0.00071187373141853	0.004	0.004	PAGE5
-0.00132629715008115	0.005	0.005	PAGE3
-0.00300244564642313	0.072	0.062	MAGEH1
0.0380660243945537	0.155	0.106	USP51
0.0517534967069348	0.069	0.02	FOXR2
-0.0120497535403802	0.176	0.151	RRAGB
0.0778643907632732	0.189	0.102	KLF8
-0.00529112152816083	0.105	0.091	UBQLN2
-0.0837959404831329	0.24	0.244	LINC01420
0.0360440535127584	0.117	0.073	SPIN3
-0.0173602018410217	0.067	0.069	SPIN2B
-0.00282786650414104	0.011	0.011	SPIN2A
-0.0023346769342025	0.164	0.128	FAAH2
0.00974691549964211	0.083	0.063	ZXDB
-0.00138283452613349	0.007	0.006	NLRP2B
0.0237504654786397	0.083	0.053	ZXDA
-0.00364159819957191	0.092	0.081	SPIN4
-0.0803184392306105	0.268	0.262	ARHGEF9
0.0495894556574969	0.285	0.205	AMER1
-0.00156799577831498	0.015	0.012	ASB12
-0.0517663872595118	0.114	0.121	MTMR8
-0.0374309808877452	0.17	0.159	ZC4H2
-0.0283033237797835	0.086	0.084	ZC3H12B
-0.0214856531821775	0.142	0.127	LAS1L
-0.135613803908529	0.575	0.536	MSN
-0.0617861420989537	0.032	0.065	VSIG4
-0.0150079823082089	0.065	0.061	HEPH
0.110751905885365	0.167	0.062	EDA2R
0.211331389089433	0.4	0.209	AR
-0.0567499243616316	0.368	0.324	OPHN1
4.84468102056601e-05	0.137	0.113	YIPF6
-0.0487254729911405	0.4	0.341	STARD8
0.0737399081024349	0.301	0.205	EFNB1
-0.0138980530468707	0.057	0.055	PJA1
0.0121898358119729	0.107	0.077	FAM155B
0.0317625686478951	0.341	0.251	EDA
-0.0116973014223262	0.018	0.021	AWAT2
-0.00211372947042662	0.006	0.006	OTUD6A
-0.01175118204078	0.135	0.118	IGBP1
-0.00771705764429673	0.039	0.036	DGAT2L6
