ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP_PATHWAYS_IN_CLEAR_CELL_RENAL_CELL_CARCINOMA	WP_PATHWAYS_IN_CLEAR_CELL_RENAL_CELL_CARCINOMA	3/21	87/11635	0.00048725284178645	0.118402440554107	0.0923215910753273	RAPGEF5/PGBD5/SQSTM1	3
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	2/21	28/11635	0.00114013185084728	0.118515974638348	0.0924101166770742	EPHA6/EFNA5	2
PID_EPHA_FWDPATHWAY	PID_EPHA_FWDPATHWAY	2/21	34/11635	0.0016810985431801	0.118515974638348	0.0924101166770742	EPHA6/EFNA5	2
WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY	WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY	3/21	141/11635	0.00197459640371381	0.118515974638348	0.0924101166770742	PTPRF/MAPK9/SQSTM1	3
WP_SPLICING_FACTOR_NOVA_REGULATED_SYNAPTIC_PROTEINS	WP_SPLICING_FACTOR_NOVA_REGULATED_SYNAPTIC_PROTEINS	2/21	41/11635	0.00243860030120057	0.118515974638348	0.0924101166770742	EFNA5/MAPK9	2
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS	REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS	2/21	50/11635	0.00360759670937153	0.127453604097554	0.0993790285361043	EPHA6/EFNA5	2
WP_IL1_SIGNALING_PATHWAY	WP_IL1_SIGNALING_PATHWAY	2/21	52/11635	0.00389657015745467	0.127453604097554	0.0993790285361043	MAPK9/SQSTM1	2
WP_RANKLRANK_RECEPTOR_ACTIVATOR_OF_NFKB_LIGAND_SIGNALING_PATHWAY	WP_RANKLRANK_RECEPTOR_ACTIVATOR_OF_NFKB_LIGAND_SIGNALING_PATHWAY	2/21	54/11635	0.00419600342707996	0.127453604097554	0.0993790285361043	MAPK9/SQSTM1	2
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER	2/21	60/11635	0.00515634531303232	0.13357473587317	0.10415184083678	MAPK9/MSH3	2
PID_P75_NTR_PATHWAY	PID_P75_NTR_PATHWAY	2/21	62/11635	0.00549690271083006	0.13357473587317	0.10415184083678	MAPK9/SQSTM1	2
WP_CHROMOSOMAL_AND_MICROSATELLITE_INSTABILITY_IN_COLORECTAL_CANCER	WP_CHROMOSOMAL_AND_MICROSATELLITE_INSTABILITY_IN_COLORECTAL_CANCER	2/21	69/11635	0.00676796240471175	0.149510442213178	0.116577342856279	MAPK9/MSH3	2
REACTOME_EPH_EPHRIN_SIGNALING	REACTOME_EPH_EPHRIN_SIGNALING	2/21	89/11635	0.0110551216977703	0.181073804990175	0.141188152039123	EPHA6/EFNA5	2
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	2/21	97/11635	0.0130308956068577	0.181073804990175	0.141188152039123	MAPK9/SQSTM1	2
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	1/21	10/11635	0.0179099705833515	0.181073804990175	0.141188152039123	MAPK9	1
WP_INTERLEUKIN1_INDUCED_ACTIVATION_OF_NFKAPPAB	WP_INTERLEUKIN1_INDUCED_ACTIVATION_OF_NFKAPPAB	1/21	10/11635	0.0179099705833515	0.181073804990175	0.141188152039123	SQSTM1	1
WP_REGULATION_OF_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY	WP_REGULATION_OF_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY	2/21	118/11635	0.0188860701646483	0.181073804990175	0.141188152039123	MAPK9/SQSTM1	2
BIOCARTA_GHRELIN_PATHWAY	BIOCARTA_GHRELIN_PATHWAY	1/21	11/11635	0.0196840687010078	0.181073804990175	0.141188152039123	RAPGEF5	1
BIOCARTA_LECTIN_PATHWAY	BIOCARTA_LECTIN_PATHWAY	1/21	11/11635	0.0196840687010078	0.181073804990175	0.141188152039123	C3	1
REACTOME_LYSINE_CATABOLISM	REACTOME_LYSINE_CATABOLISM	1/21	11/11635	0.0196840687010078	0.181073804990175	0.141188152039123	PHYKPL	1
WP_AUTOSOMAL_RECESSIVE_OSTEOPETROSIS_PATHWAYS	WP_AUTOSOMAL_RECESSIVE_OSTEOPETROSIS_PATHWAYS	1/21	11/11635	0.0196840687010078	0.181073804990175	0.141188152039123	SNX10	1
REACTOME_DISEASES_OF_DNA_REPAIR	REACTOME_DISEASES_OF_DNA_REPAIR	1/21	12/11635	0.0214551143442694	0.181073804990175	0.141188152039123	MSH3	1
REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES	REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES	1/21	12/11635	0.0214551143442694	0.181073804990175	0.141188152039123	SQSTM1	1
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY	2/21	127/11635	0.0216784568373622	0.181073804990175	0.141188152039123	PTPRF/MAPK9	2
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	2/21	128/11635	0.0219988069650715	0.181073804990175	0.141188152039123	EPHA6/EFNA5	2
BIOCARTA_CLASSIC_PATHWAY	BIOCARTA_CLASSIC_PATHWAY	1/21	13/11635	0.0232231125029871	0.181073804990175	0.141188152039123	C3	1
REACTOME_NF_KB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL	REACTOME_NF_KB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL	1/21	13/11635	0.0232231125029871	0.181073804990175	0.141188152039123	SQSTM1	1
