cluster_name	sampleid	case
C3L.00004.T1_C1	C3L-00004-T1	C3L-00004
C3L.00004.T1_C2	C3L-00004-T1	C3L-00004
C3L.00010.T1_C1	C3L-00010-T1	C3L-00010
C3L.00010.T1_C2	C3L-00010-T1	C3L-00010
C3L.00010.T1_C3	C3L-00010-T1	C3L-00010
C3L.00010.T1_C4	C3L-00010-T1	C3L-00010
C3L.00026.T1_C1	C3L-00026-T1	C3L-00026
C3L.00026.T1_C2	C3L-00026-T1	C3L-00026
C3L.00026.T1_C3	C3L-00026-T1	C3L-00026
C3L.00079.T1_C1	C3L-00079-T1	C3L-00079
C3L.00079.T1_C2	C3L-00079-T1	C3L-00079
C3L.00079.T1_C3	C3L-00079-T1	C3L-00079
C3L.00079.T1_C4	C3L-00079-T1	C3L-00079
C3L.00079.T1_C5	C3L-00079-T1	C3L-00079
C3L.00088.T1_C1	C3L-00088-T1	C3L-00088
C3L.00088.T2_C1	C3L-00088-T2	C3L-00088
C3L.00088.T2_C4	C3L-00088-T2	C3L-00088
C3L.00088.T2_C5	C3L-00088-T2	C3L-00088
C3L.00096.T1_C1	C3L-00096-T1	C3L-00096
C3L.00096.T1_C2	C3L-00096-T1	C3L-00096
C3L.00096.T1_C3	C3L-00096-T1	C3L-00096
C3L.00416.T1_C1	C3L-00416-T1	C3L-00416
C3L.00416.T1_C10	C3L-00416-T1	C3L-00416
C3L.00416.T1_C2	C3L-00416-T1	C3L-00416
C3L.00416.T1_C3	C3L-00416-T1	C3L-00416
C3L.00416.T1_C4	C3L-00416-T1	C3L-00416
C3L.00416.T1_C5	C3L-00416-T1	C3L-00416
C3L.00416.T1_C6	C3L-00416-T1	C3L-00416
C3L.00416.T1_C7	C3L-00416-T1	C3L-00416
C3L.00416.T1_C8	C3L-00416-T1	C3L-00416
C3L.00416.T1_C9	C3L-00416-T1	C3L-00416
C3L.00416.T2_C1	C3L-00416-T2	C3L-00416
C3L.00416.T2_C2	C3L-00416-T2	C3L-00416
C3L.00416.T2_C4	C3L-00416-T2	C3L-00416
C3L.00448.T1_C1	C3L-00448-T1	C3L-00448
C3L.00448.T1_C2	C3L-00448-T1	C3L-00448
C3L.00448.T1_C3	C3L-00448-T1	C3L-00448
C3L.00448.T1_C4	C3L-00448-T1	C3L-00448
C3L.00583.T1_C1	C3L-00583-T1	C3L-00583
C3L.00583.T1_C2	C3L-00583-T1	C3L-00583
C3L.00610.T1_C1	C3L-00610-T1	C3L-00610
C3L.00790.T1_C1	C3L-00790-T1	C3L-00790
C3L.00813.T1_C1	C3L-00813-T1	C3L-00813
C3L.00813.T1_C2	C3L-00813-T1	C3L-00813
C3L.00813.T1_C3	C3L-00813-T1	C3L-00813
C3L.00813.T1_C6	C3L-00813-T1	C3L-00813
C3L.00908.T1_C1	C3L-00908-T1	C3L-00908
C3L.00908.T1_C2	C3L-00908-T1	C3L-00908
C3L.00917.T1_C1	C3L-00917-T1	C3L-00917
C3L.00917.T1_C2	C3L-00917-T1	C3L-00917
C3L.00917.T1_C3	C3L-00917-T1	C3L-00917
C3L.01287.T1_C1	C3L-01287-T1	C3L-01287
C3L.01302.T1_C1	C3L-01302-T1	C3L-01302
C3L.01302.T1_C2	C3L-01302-T1	C3L-01302
C3L.01302.T1_C3	C3L-01302-T1	C3L-01302
C3L.01302.T1_C4	C3L-01302-T1	C3L-01302
C3L.01302.T1_C5	C3L-01302-T1	C3L-01302
C3L.01313.T1_C1	C3L-01313-T1	C3L-01313
C3L.01313.T1_C2	C3L-01313-T1	C3L-01313
C3L.01313.T1_C4	C3L-01313-T1	C3L-01313
C3L.01313.T1_C5	C3L-01313-T1	C3L-01313
C3L.01313.T1_C6	C3L-01313-T1	C3L-01313
C3N.00177.T1_C1	C3N-00177-T1	C3N-00177
C3N.00242.T1_C1	C3N-00242-T1	C3N-00242
C3N.00317.T1_C1	C3N-00317-T1	C3N-00317
C3N.00317.T1_C2	C3N-00317-T1	C3N-00317
C3N.00317.T1_C3	C3N-00317-T1	C3N-00317
C3N.00317.T1_C4	C3N-00317-T1	C3N-00317
C3N.00317.T1_C5	C3N-00317-T1	C3N-00317
C3N.00437.T1_C1	C3N-00437-T1	C3N-00437
C3N.00437.T1_C2	C3N-00437-T1	C3N-00437
C3N.00437.T1_C3	C3N-00437-T1	C3N-00437
C3N.00437.T1_C4	C3N-00437-T1	C3N-00437
C3N.00495.T1_C1	C3N-00495-T1	C3N-00495
C3N.00733.T1_C1	C3N-00733-T1	C3N-00733
C3N.00733.T1_C2	C3N-00733-T1	C3N-00733
C3N.00733.T1_C5	C3N-00733-T1	C3N-00733
C3N.00733.T2_C1	C3N-00733-T2	C3N-00733
C3N.00733.T2_C2	C3N-00733-T2	C3N-00733
C3N.00733.T2_C3	C3N-00733-T2	C3N-00733
C3N.01200.T1_C1	C3N-01200-T1	C3N-01200
C3N.01200.T1_C2	C3N-01200-T1	C3N-01200
C3N.01200.T1_C3	C3N-01200-T1	C3N-01200
C3N.01200.T1_C4	C3N-01200-T1	C3N-01200
C3N.01200.T2_C1	C3N-01200-T2	C3N-01200
C3N.01200.T2_C2	C3N-01200-T2	C3N-01200
C3N.01200.T3_C1	C3N-01200-T3	C3N-01200
C3N.01213.T1_C1	C3N-01213-T1	C3N-01213
C3N.01213.T1_C2	C3N-01213-T1	C3N-01213
C3N.01213.T1_C3	C3N-01213-T1	C3N-01213
