Gene_symbol,Date,Parent_Line,Construct_transfected,Value_bytub,Value_bytub_byscrambled
MXI1,4/1/22,RCC4,scrambled,1.94788369,1
MXI1,4/1/22,RCC4,MXI1_C1,1.0741191,0.55142877
MXI1,4/1/22,RCC4,MXI1_C2,1.03737351,0.5325644
MXI1,4/23/22,RCC4,scrambled,1.29486783,1
MXI1,4/23/22,RCC4,MXI1_C1,0.4816525,0.37197039
MXI1,4/23/22,RCC4,MXI1_C2,0.31708115,0.2448753
MXI1,4/13/22,RCC4,scrambled,3.156985846,1
MXI1,4/13/22,RCC4,MXI1_C1,2.774504168,0.878845932
MXI1,4/13/22,RCC4,MXI1_C2,2.862339188,0.906668363
KLF9,4/23/22,RCC4,scrambled,1.313045,1
KLF9,4/23/22,RCC4,KLF9_C2,0.401948,0.306119
KLF9,4/23/22,RCC4,KLF9_C3,0.833745,0.634971
KLF9,4/13/22,RCC4,scrambled,0.53732038,1
KLF9,4/13/22,RCC4,KLF9_C2,0.11852838,0.22059163
KLF9,4/13/22,RCC4,KLF9_C3,0.16983657,0.31608065
KLF9,4/1/22,RCC4,scrambled,0.80341069,1
KLF9,4/1/22,RCC4,KLF9_C2,0.27334636,0.34023241
KLF9,4/1/22,RCC4,KLF9_C3,0.58341205,0.72616914
KLF9,5/12/22,RCC4,scrambled,0.326882986,1
KLF9,5/12/22,RCC4,KLF9_C2,0.025666245,0.078518144
KLF9,5/12/22,RCC4,KLF9_C3,0.224885609,0.68796976
CP,4/23/22,RCC4,scrambled,0.01954687,1
CP,4/23/22,RCC4,NT,0.07253929,3.71104358
CP,4/23/22,RCC4,MXI1_C1,0.02046846,1.04714784
CP,4/23/22,RCC4,MXI1_C2,0.01293406,0.66169438
CP,4/23/22,RCC4,KLF9_C2,0.0168224,0.86061838
CP,4/23/22,RCC4,KLF9_C3,0.03982681,2.03750298
CP,5/12/22,RCC4,scrambled,0.23150494,1
CP,5/12/22,RCC4,NT,0.32281604,1.39442398
CP,5/12/22,RCC4,MXI1_C1,,
CP,5/12/22,RCC4,MXI1_C2,0.38638103,1.66899693
CP,5/12/22,RCC4,KLF9_C2,0.00513261,0.02217065
CP,5/12/22,RCC4,KLF9_C3,,
CP,4/13/22,RCC4,scrambled,0.43820055,1
CP,4/13/22,RCC4,NT,,
CP,4/13/22,RCC4,MXI1_C1,0.67760453,1.54633428
CP,4/13/22,RCC4,MXI1_C2,0.77953165,1.77893808
CP,4/13/22,RCC4,KLF9_C2,0.27114394,0.61876676
CP,4/13/22,RCC4,KLF9_C3,0.27350878,0.62416347
CP,4/1/22,RCC4,scrambled,0.46186693,1
CP,4/1/22,RCC4,NT,,
CP,4/1/22,RCC4,MXI1_C1,0.39361932,0.85223534
CP,4/1/22,RCC4,MXI1_C2,0.38625329,0.83628696
CP,4/1/22,RCC4,KLF9_C2,0.35412475,0.76672463
CP,4/1/22,RCC4,KLF9_C3,0.36434326,0.78884898
HK2,4/23/22,RCC4,scrambled,0.48511019,1
HK2,4/23/22,RCC4,NT,0.83299162,1.71711839
HK2,4/23/22,RCC4,MXI1_C1,0.46002185,0.94828321
HK2,4/23/22,RCC4,MXI1_C2,0.43354727,0.89370886
HK2,4/23/22,RCC4,KLF9_C2,0.5356352,1.10415161
