V1	variable	value	id_sample_cell_group	aliquot	cell_group.columnname	x_plot	cell_group	id_sample
CP	SCT.CPT0001270002_Proximal.tubule	0.0306224899598393	CPT0001270002_Proximal.tubule	CPT0001270002	Proximal.tubule	0.0306224899598393	Proximal tubule	C3L-00079-N
CA9	SCT.CPT0001270002_Proximal.tubule	0.00903614457831325	CPT0001270002_Proximal.tubule	CPT0001270002	Proximal.tubule	0.00903614457831325	Proximal tubule	C3L-00079-N
PCSK6	SCT.CPT0001270002_Proximal.tubule	0.0271084337349397	CPT0001270002_Proximal.tubule	CPT0001270002	Proximal.tubule	0.0271084337349397	Proximal tubule	C3L-00079-N
CP	SCT.CPT0001270002_Intercalated.cells	0.0326633165829146	CPT0001270002_Intercalated.cells	CPT0001270002	Intercalated.cells	0.0326633165829146	Intercalated cells	C3L-00079-N
CA9	SCT.CPT0001270002_Intercalated.cells	0	CPT0001270002_Intercalated.cells	CPT0001270002	Intercalated.cells	0	Intercalated cells	C3L-00079-N
PCSK6	SCT.CPT0001270002_Intercalated.cells	0.251256281407035	CPT0001270002_Intercalated.cells	CPT0001270002	Intercalated.cells	0.251256281407035	Intercalated cells	C3L-00079-N
CP	SCT.CPT0001270002_Loop.of.Henle	0.0546500479386386	CPT0001270002_Loop.of.Henle	CPT0001270002	Loop.of.Henle	0.0546500479386386	Loop of Henle	C3L-00079-N
CA9	SCT.CPT0001270002_Loop.of.Henle	0.000958772770853308	CPT0001270002_Loop.of.Henle	CPT0001270002	Loop.of.Henle	0.000958772770853308	Loop of Henle	C3L-00079-N
PCSK6	SCT.CPT0001270002_Loop.of.Henle	0.555129434324065	CPT0001270002_Loop.of.Henle	CPT0001270002	Loop.of.Henle	0.555129434324065	Loop of Henle	C3L-00079-N
CP	SCT.CPT0001270002_Myofibroblasts	0.0886917960088692	CPT0001270002_Myofibroblasts	CPT0001270002	Myofibroblasts	0.0886917960088692	Myofibroblasts	C3L-00079-N
CA9	SCT.CPT0001270002_Myofibroblasts	0.00443458980044346	CPT0001270002_Myofibroblasts	CPT0001270002	Myofibroblasts	0.00443458980044346	Myofibroblasts	C3L-00079-N
PCSK6	SCT.CPT0001270002_Myofibroblasts	0.241685144124169	CPT0001270002_Myofibroblasts	CPT0001270002	Myofibroblasts	0.241685144124169	Myofibroblasts	C3L-00079-N
CP	SCT.CPT0001270002_Endothelial.cells	0.0718232044198895	CPT0001270002_Endothelial.cells	CPT0001270002	Endothelial.cells	0.0718232044198895	Endothelial cells	C3L-00079-N
CA9	SCT.CPT0001270002_Endothelial.cells	0	CPT0001270002_Endothelial.cells	CPT0001270002	Endothelial.cells	0	Endothelial cells	C3L-00079-N
