C3L.00004.T1_C1	C3L.00004.T1_C2	C3L.00010.T1_C1	C3L.00010.T1_C2	C3L.00010.T1_C3	C3L.00010.T1_C4	C3L.00026.T1_C1	C3L.00026.T1_C2	C3L.00026.T1_C3	C3L.00079.T1_C1	C3L.00079.T1_C2	C3L.00079.T1_C3	C3L.00079.T1_C4	C3L.00079.T1_C5	C3L.00088.T1_C1	C3L.00088.T2_C1	C3L.00088.T2_C4	C3L.00088.T2_C5	C3L.00096.T1_C1	C3L.00096.T1_C2	C3L.00096.T1_C3	C3L.00416.T1_C1	C3L.00416.T1_C10	C3L.00416.T1_C2	C3L.00416.T1_C3	C3L.00416.T1_C4	C3L.00416.T1_C5	C3L.00416.T1_C6	C3L.00416.T1_C7	C3L.00416.T1_C8	C3L.00416.T1_C9	C3L.00416.T2_C1	C3L.00416.T2_C2	C3L.00416.T2_C4	C3L.00448.T1_C1	C3L.00448.T1_C2	C3L.00448.T1_C3	C3L.00448.T1_C4	C3L.00583.T1_C1	C3L.00583.T1_C2	C3L.00610.T1_C1	C3L.00790.T1_C1	C3L.00813.T1_C1	C3L.00813.T1_C2	C3L.00813.T1_C3	C3L.00813.T1_C6	C3L.00908.T1_C1	C3L.00908.T1_C2	C3L.00917.T1_C1	C3L.00917.T1_C2	C3L.00917.T1_C3	C3L.01287.T1_C1	C3L.01302.T1_C1	C3L.01302.T1_C2	C3L.01302.T1_C3	C3L.01302.T1_C4	C3L.01302.T1_C5	C3L.01313.T1_C1	C3L.01313.T1_C2	C3L.01313.T1_C4	C3L.01313.T1_C5	C3L.01313.T1_C6	C3N.00177.T1_C1	C3N.00242.T1_C1	C3N.00317.T1_C1	C3N.00317.T1_C2	C3N.00317.T1_C3	C3N.00317.T1_C4	C3N.00317.T1_C5	C3N.00437.T1_C1	C3N.00437.T1_C2	C3N.00437.T1_C3	C3N.00437.T1_C4	C3N.00495.T1_C1	C3N.00733.T1_C1	C3N.00733.T1_C2	C3N.00733.T1_C5	C3N.00733.T2_C1	C3N.00733.T2_C2	C3N.00733.T2_C3	C3N.01200.T1_C1	C3N.01200.T1_C2	C3N.01200.T1_C3	C3N.01200.T1_C4	C3N.01200.T2_C1	C3N.01200.T2_C2	C3N.01200.T3_C1	C3N.01213.T1_C1	C3N.01213.T1_C2	C3N.01213.T1_C3
MITOTIC_SPINDLE_Score	-28.8939927216381	-16.9943210332931	-29.4421500803005	-39.4056151609707	32.9036130868668	-26.1389194335265	-25.5383485856506	-25.8082743606048	34.8170096861286	-36.2090354134587	-43.5603535009379	-17.7198460935429	56.0849675358573	-23.6300532099931	-34.3482083363791	-29.2226667818186	-5.97030873332741	-35.4023579238714	-5.90419420776639	58.4116217621339	30.9569169554277	3.41611260855877	70.743974416256	13.6522548554078	-21.3389133647862	-18.3530124289092	-19.9241882684401	27.4622719327615	-4.32799626479434	-16.9887992297727	15.9840288670527	-20.8956618864184	-15.3516267268103	62.3051026140942	-36.8500501085447	-0.302010022291168	19.5005089263759	67.7345279486389	-5.06275697894324	63.1534709882536	-30.7777259178167	-14.3627130943669	0.635527135853688	-28.1280723414284	0.512897576337057	71.2025744709715	-16.0638921748467	1.73401269316123	-45.8090194270775	-26.9870130302687	32.2287912685024	-49.5440128022506	-34.5581293673823	-41.8799560973938	-25.455056949955	96.4465776242202	-38.1886991867554	-27.8150778738105	-27.5905375547849	-14.1633183975866	-16.0513719684508	-27.7246048963763	-13.4466237534118	-21.3461386398835	-41.4120945876522	-40.9968270831251	-46.6950638650365	75.9538207098657	-7.88246213917025	-35.0725472147037	-27.1289541279798	-22.9960988644785	-1.93872978862932	-32.0873874501931	-19.6728186290786	-8.47676435182619	140.233777480081	-15.7088529692964	-6.00676560482218	1.00042189455948	-26.5092077583646	-29.3453098853838	31.2838827651995	1.2283456419887	93.3871554196881	56.2448903075477	65.0407336412821	-44.0458588426131	-20.0082063793295	-5.29337651398639
E2F_TARGETS_Score	-36.5377770757629	-36.4238821778224	-44.9814101551321	-27.4526734859254	155.959291457467	-47.6584111843727	-32.6800597680736	-36.6763724730438	148.339695160925	-47.8102813006314	-51.0135758423026	-28.1654851835547	16.1819115434555	-41.7743314261121	-38.6013893412696	-33.2529394874518	-17.3985401021135	-31.3292127535534	-30.9374581016809	-16.075566280351	-14.5519648831905	-24.4683550587173	120.404607579829	-6.95536223745075	-20.3327440820448	-18.0718648522581	-11.3904424183793	-6.14082962217683	-16.0564364304237	-26.0317659603776	-20.7784866928068	-19.1958238008851	-14.3703555574731	208.980726487908	-37.7970372166089	-26.1009994289434	-19.4951193427787	221.788323025664	-26.5776337070543	182.371719229181	-50.7046676891966	-35.744029395395	-46.4631864728819	-54.0371760887365	-36.8500940220146	127.721170899467	-26.8272792539304	-23.9342336098944	-57.7416172506115	-45.6007991143442	101.597504751315	-56.6645264061485	-35.6218607294076	-28.4505796512728	-24.2973846984051	152.54653060447	-25.1297049048666	-43.0209942252074	-43.3935344395601	-32.6777142116001	-48.6338928832541	-49.6216667620362	-23.0393332262434	-32.3602135922413	-46.3872454654179	-49.8999737913544	-50.8882483418986	196.912068139373	-26.5314493961858	-34.8844482166839	-22.1759490548161	-26.3579157795599	-15.3495518506776	-45.594368886141	-37.0905264423338	-32.7179458791573	210.900953852745	-29.5971034434245	-24.2557741145627	-16.9565687255252	-41.0956698015801	-46.4835219926586	2.1025116163188	-21.8830804358463	39.4799492168444	14.8748960419171	23.4120893337645	-52.8391187594535	-49.6780829869645	46.9515287148499
G2M_CHECKPOINT_Score	-33.4607289456925	-10.2865410767022	-44.6527929210318	-39.8071618733041	108.921034796802	-41.6184380642946	-31.1331949451652	-35.0354686146638	116.947204807242	-46.1993471632322	-46.3899539634238	-33.7053619479283	38.6215905676972	-40.8308065712663	-39.6609102543571	-35.2634453323064	-17.495782023564	-40.4349622060163	-36.8046725997536	-12.1253192404877	-12.3098607748633	-22.367492736468	102.602857713578	-7.13769081329601	-29.6474818259303	-20.2405134981192	-17.898863063901	-3.75318050601421	-17.9211489802625	-27.7961167054221	-13.8778555644296	-25.0186866331483	-14.71426565205	171.992733148371	-35.7808518976355	-14.1250788968167	-16.4099006385784	163.204210260996	-22.5746946601676	140.910174283019	-45.462755072892	-30.4242945490959	-39.3531362639874	-46.0885935317238	-30.3240290171372	110.757600235798	-31.7420121553089	-31.9055782659894	-49.7704120509415	-38.4790772196534	82.3093442360148	-57.9187848200575	-35.5309344488303	-36.1992262284804	-27.0767362987209	146.070146780778	-27.9797221304299	-39.6013166156893	-37.9576277549952	-25.4946579330185	-42.6408458622246	-44.8165945114301	-30.9820054330651	-34.1423962855505	-40.2582256868971	-36.571832752961	-43.7558346356076	173.706425461114	-11.7649107416657	-37.0342638490573	-32.5903963818448	-31.9712407110745	-18.5662159955813	-37.9839894253864	-30.0050410044261	-18.2012761563883	210.124934580213	-25.1072775123987	-10.4684614521493	-3.24743837877171	-39.1273545917722	-39.1960797258458	28.7930045028652	-19.0712610805553	69.7955915127907	28.740819037627	61.4338931396356	-45.5012775139806	-34.1995291682581	35.5779082098048
UV_RESPONSE_DN_Score	0.572187192512535	42.6677094454004	-20.9098251678638	-53.682185292524	-10.25114454305	-6.99995609757002	-9.03784991294347	-7.33125173316185	-1.98317943102247	-16.9861185503631	-28.8173739697513	-27.0525084037635	66.469298817317	-12.7344519372818	-3.49010737065281	-2.31512407764093	15.0595141338736	-12.6048915188623	23.7537098703079	46.6060650195577	56.3156706925753	7.38351102864563	11.396006454063	31.0149695113398	-12.6124329909599	-2.5056944695474	-11.934681399389	23.6379035092252	4.9081691102689	-0.306717522049047	16.9252629808816	-10.339553178064	0.940536195142888	3.8376724817763	-17.9760294786973	46.0306256491937	29.1405850693614	-0.462871610700611	25.6884366574441	27.3868542449136	-3.8013453934284	-2.94889607321443	-1.37845980968524	-17.2379303592645	-6.41662780012495	14.2807555779046	-17.4719089776995	-8.60694656754012	-14.7569036207947	8.15432645774387	-7.8361726319786	-50.4537018486016	-18.5562165913847	-44.5103215110682	-6.33249098683619	-11.1519303151004	-17.0358059379092	-14.3789586392493	-19.2217664635613	13.5705758102642	-14.4538917855015	-24.0704557078799	-42.4590112521591	-20.7698078880169	-23.5173708092325	-15.1029352142868	-27.0076143699889	-2.71637202131988	1.47281691194534	-21.5431234799466	-8.16561546029595	-13.488339309029	7.08308534940707	-25.9507188982112	10.5459219157636	11.0793272958342	18.2873611637705	9.31859128827881	13.235742564561	48.2416076926992	-20.3424768715498	-20.9150981885994	28.3634385745585	15.3151926798166	92.2159494558276	47.3344329251436	53.7355906234602	-38.2286104627097	-3.67588498506119	-23.3824135841257
ALLOGRAFT_REJECTION_Score	-13.6555959334783	14.7050007692898	-42.6691066540622	77.8952154098065	-26.9862272278236	-3.82307612404251	-35.4266390987063	-26.426250523414	-21.6200671955536	-30.3098773284646	-33.193084993668	-26.8857630845416	25.2224568905258	-36.0209866111005	-33.6277710280346	-19.3748990447149	-2.43105051583129	-18.6012779919926	-24.8606705671379	144.02558893183	128.312811854749	13.957334158506	30.4970721526276	148.94553423622	4.82864644054589	6.13737200355467	-1.2944998007302	125.425175625711	42.3077519818607	-1.92327597324028	13.3154245357237	-18.4496868121788	-22.2522611693859	-10.5963787862235	-45.071673534271	144.12880730971	66.9293589842411	-28.5405272473597	-23.3628167989976	-16.5583709527197	-47.1201875338304	-33.5388919093071	-46.8336228853304	-44.1147900644348	-36.9217726123532	-30.8187250242104	-25.5476998196438	-27.8441129463345	-36.6582210878784	43.8100214496708	-28.3454870277339	-52.2409047964142	-17.4315103055949	65.4242640431493	-9.10954204389127	-7.90203913641508	-17.4289828683019	-39.7164009705935	-37.8865096321146	34.5568464941378	-41.1753820281614	-45.0758488099926	18.8385240964416	-39.2668050698631	-13.5594119020408	-16.4500083785331	15.0594178223262	17.5256454881929	123.466652149748	-13.0552711213187	-15.1883259783539	1.26696943182836	89.1591614520926	-35.1841390898311	-32.3002603814747	-21.0296171520848	-25.5721343986007	-28.058431312194	-18.2663041852985	98.6103636007782	-28.905697082587	-27.9796639038671	-5.66434741080555	82.1767471358438	51.6163462590702	30.2205887766906	9.42920173779913	-34.0529723453872	10.8056077968277	-11.0716027121657
EPITHELIAL_MESENCHYMAL_TRANSITION_Score	-8.69665728494452	42.4961293440787	-24.3957093640416	-10.6234543791082	-5.43740570480756	-24.8730339592151	-16.4192003544677	-11.7172385368032	-2.56274545103979	-28.9302409506621	-18.0369709775201	-19.9868353538334	157.792350958041	14.0151220415969	-27.4629765384003	-18.6025065071349	20.1250042504422	-26.0424482946777	-17.5753062243938	-3.91562494683698	-13.7555838360578	27.2616661531882	12.0120809824062	-0.852335897214498	-12.3014582149601	-16.1724776260023	-9.86903446257516	-1.65804665956866	6.77565987113314	-11.5493954428401	11.2110891386272	-21.0553749394104	-16.4344991278686	-1.11697482756363	-31.6181463286148	-19.9087223154441	-10.1592237449243	-11.2879982661333	6.09736355848431	20.3429162981072	-25.5318185315214	4.84118408257131	-5.63058071885013	-19.9189732905302	-2.10680123850622	11.6995530898493	-5.05602018411032	1.38845087725297	-47.0297348135463	-45.3823158145721	-32.2283618387686	-55.171193437075	42.3216246519722	22.2343595174347	79.0548480134777	62.6264655163273	38.3357282087454	-29.8254697133175	-32.9921901651476	-22.2899360713633	-26.0897660384217	-29.585479717136	-15.6274088423282	-18.9360507867161	-4.81738085294178	-2.28166927762893	10.8484396567887	28.7625590796784	-4.29707732656074	-2.59859539608116	4.80278516094706	14.2115244597815	9.03559095409667	-18.7471215937399	-11.467288772232	-10.769862494337	7.87151193715302	-1.29761570221546	1.77167675548958	19.6862105392103	-17.0680970700636	-20.4141101281422	38.4967056685388	-7.1434264676494	166.122542120737	89.9642284397844	63.7837993194607	-29.3547582412737	-6.38659681039484	-2.97882527068992
HYPOXIA_Score	2.540940507569	38.8847821319418	-17.3218204450462	-21.9565932818904	-16.2845311295968	-16.2060806323773	-16.6144736811897	-0.0456978447682865	-13.4216302776488	-18.1165448687545	19.1152153460407	3.97700779657088	110.784012515655	37.7813967226878	-9.73707275451414	-5.22385011322831	10.2172118470693	-10.3726433661876	-12.3252221805656	-11.3105576518825	-2.58736299752674	-7.39217217288682	-12.3896623949313	-7.21595017752096	-19.3698820493911	-23.4950674370123	-15.6480287608077	-13.7072548267626	-38.5354329863789	-22.2802363337614	-2.93995281819589	-17.8155164890418	-0.926649424501371	-10.0738353878106	-4.77494882201719	3.22772435222704	9.66406766545028	5.02873208902203	32.1258541588412	30.5939940836319	-14.2137578804981	-9.94132518128528	32.4814658021551	-7.6788302819542	-1.52765673034311	9.39371173740877	6.99974947354544	29.9438196147298	-28.2998244988175	-20.2925963329453	-32.880793418325	-54.1431365171259	59.8232449496225	19.7759432461182	46.909435696951	67.905190713024	58.6810113306885	-1.11555979534669	-7.2382984973926	4.11972170434282	-9.64026175818165	-28.0693302771006	-13.142533831155	-4.40423987272341	-24.76228868466	-20.7015637420226	-18.7217216839738	-15.8501786650938	-23.3070511527778	1.5579636243737	14.2208087658627	6.05287934810303	12.0928878322274	-49.034258883558	9.61118876339678	13.2961175293217	6.23149926459732	24.9060183439211	21.0905418582794	42.0577575562331	-18.1707189877613	-19.9354992794998	20.7587649511484	-1.48937713494457	64.4441046915443	47.4313291534635	13.902675446622	-38.8295001346436	-34.8854503761577	-21.8708041697407
COMPLEMENT_Score	13.1406890166158	13.377272605461	-29.8438595767733	1.02534716388901	-16.7286654515842	-10.223978085272	-20.0990721521729	-13.2545783050839	-7.67271571843671	-24.4018507639842	-14.9783127331414	-23.7484388801292	14.1800543715868	-19.2790964995586	-24.9168817133264	-18.2810402213577	-3.53420760861501	-19.5847218901272	-2.19714549663506	113.854269586182	92.4696832707173	10.6896013765836	26.5290409126239	83.2621288503753	9.61254617633532	-1.04767177502927	-6.17036261836564	86.9807954676982	39.8053127846496	-0.901583130088773	1.15608354241369	-4.26771355115596	-19.0198517787735	-3.58923441885242	-37.0796805544619	72.4677185255916	82.4580041466769	-23.5655531872317	-28.6819695039359	-26.5347679340783	-34.6643002234088	-19.6651333766173	-8.86246832384048	-31.6585752104196	-14.7596753521275	-6.06233806914128	-6.48930349942679	14.0761118632978	-44.1480239090509	-1.94148410226101	-31.9443669634698	-55.2856807913306	-21.1744754554179	2.69302805307782	-18.8322684050066	-27.9728285126053	-15.3142508310214	-26.4506882773615	-24.2759686389763	36.3541973893165	-13.0646562030518	-26.3360840701802	3.19952145507119	-20.5855394023445	-18.2519817559179	-23.2114567921694	-19.3100514662875	3.64499741063169	65.3074243542543	-14.6986003107507	-9.77305209532228	0.575466557151058	49.6855157381334	-38.4707738691938	-9.06737010385132	-8.33851759884423	-15.636882224309	-8.70512917993604	-5.44380410034871	68.2565088178477	-27.5600454474254	-27.8521148407035	38.8372538935045	36.9279571074727	85.8511808963262	84.6952672965426	63.6409175368088	-55.5952422444065	-20.9148167627268	-30.3196065452256
INFLAMMATORY_RESPONSE_Score	-15.0896582257705	34.1612814372217	-30.2016574425985	29.102876075042	-25.9944297481297	-17.8374588153751	-29.8420213707386	-25.2317610414251	-25.2732638025517	-40.4992325337775	-23.69480018081	-34.0472134321338	43.4597072191558	-32.2986957671651	-26.005080807111	-17.1823883817871	11.5394211330495	-21.7031650327233	-20.1602723279681	117.952545363777	41.8943396811872	7.77444712557689	24.0183576031019	62.6888952958062	-0.431017262834866	11.1156231508198	12.6330586254947	84.4379509957544	12.5887916184224	-4.72617839035453	7.42117248519202	-6.19422437413258	-0.999553373575482	-5.33236399932738	-33.9450434006054	36.7361158289736	100.207243757097	-27.4809386715043	-3.01486580284481	-4.98026615054981	-37.0590399580209	-22.5524508642089	-13.0746164027851	-31.7185250876995	-15.4221186119993	-18.2944859710645	-20.4882269908051	-33.9198203358547	-39.6877237841811	-4.21799383509775	-36.5528887646013	-52.3071162051794	13.1706842273607	60.0123763962809	20.7997796698373	16.7090501850811	13.1621024015957	-23.4991627392153	-24.6329530009244	13.3321298799885	-16.2566879955682	-20.8105540167471	14.2859107342539	-29.7633864222389	-14.2754206325488	-12.4062563136142	-12.6686570201995	-0.125210403964175	40.5815772815467	-4.84761992216763	-2.01711170593378	8.54017243513591	46.2776294331106	-26.7385728980193	-31.6232353598716	-17.1906053442756	-28.1263000547534	-26.7404296296462	-13.8333088445175	39.2434096984302	-18.776869086284	-15.1335396875136	19.2183370330187	37.6302063856183	117.448196058384	82.6616374179977	52.4478809232445	-30.2856501242301	0.270597183659868	2.10269633093951
INTERFERON_GAMMA_RESPONSE_Score	6.57112902154622	39.019711805425	-18.3324514754536	56.5454760759657	-12.7554774250654	-8.37508542663233	-33.844800288791	-23.4975479136009	-28.0230620454678	-18.5644492729477	-9.05732781038884	-16.4256576741794	23.3527861968615	-18.2373560179575	-26.3423866616147	-4.67138083778627	1.48449715412399	-6.76341914683102	-14.3364236794528	106.567819446177	62.1585972134101	17.731464491213	30.3485067034298	82.635374883202	38.081870462307	16.4480016938328	12.5224655517146	110.572364369708	77.6710502148156	10.022725216966	-3.52456295791753	12.3767154455247	-12.8143395104725	-15.5600733665044	-42.5624357844673	29.6600681152187	51.3175327792403	-40.9697541527142	-15.4669495534162	-19.3502671411499	-43.4044459810346	-31.408057521855	-45.7910015498948	-42.8561573330855	-43.7693875755466	-42.431619762739	9.43009194062387	-3.47041400388423	-39.2595094184984	-7.9416274875729	-33.5310843665579	-64.7625786486868	2.72058064731532	39.684972040944	0.540836855632466	-3.11147839195984	4.41858686274214	-40.1542306716622	-39.4883893093406	-6.97941849917782	-41.7521040003654	-47.2101318214058	31.3543072111046	-52.2447368792473	9.44486515921429	-7.05361926376235	42.5971410763477	27.7432358805098	71.4760970720081	-22.8621712030292	-16.0500277921569	-6.12635383319529	26.7118838212329	-36.2423764800177	-25.816633307178	-32.9979185750536	-34.1112994514598	-20.2017179294744	-33.7241425265029	40.3092619188933	-19.8037220673304	-23.8596895906231	35.3763950503525	49.1549909962868	184.96425862063	101.285713460499	63.2381138588845	-45.9140211136423	-26.0349696033897	-16.4364741214968
