x_plot	y_plot
Stage III/IV	42.4961293440787
Stage I/II	-5.43740570480756
Stage I/II	-2.56274545103979
Stage III/IV	157.792350958041
Stage III/IV	20.1250042504422
Stage III/IV	-3.91562494683698
Stage III/IV	NA
Stage III/IV	27.2616661531882
Stage I/II	-10.1592237449243
Stage III/IV	NA
Stage I/II	20.3429162981072
Stage I/II	-25.5318185315214
Stage I/II	4.84118408257131
Stage III/IV	11.6995530898493
Stage I/II	1.38845087725297
Stage I/II	-32.2283618387686
Stage III/IV	-10.2613565513981
Stage III/IV	79.0548480134777
Stage III/IV	-11.8692682332932
Stage III/IV	-15.6274088423282
Stage I/II	-18.9360507867161
Stage III/IV	NA
Stage I/II	NA
Stage I/II	28.7625590796784
Stage III/IV	NA
Stage III/IV	NA
Stage III/IV	14.2115244597815
Stage III/IV	NA
Stage I/II	-18.7471215937399
Stage III/IV	19.6862105392103
Stage III/IV	NA
Stage III/IV	166.122542120737
Stage III/IV	-2.97882527068992
Stage III/IV	NA
