x_plot	y_plot
Stage III/IV	34.1612814372217
Stage I/II	29.102876075042
Stage I/II	-25.2317610414251
Stage III/IV	43.4597072191558
Stage III/IV	11.5394211330495
Stage III/IV	117.952545363777
Stage III/IV	NA
Stage III/IV	84.4379509957544
Stage I/II	100.207243757097
Stage III/IV	NA
Stage I/II	-3.01486580284481
Stage I/II	-37.0590399580209
Stage I/II	-22.5524508642089
Stage III/IV	-13.0746164027851
Stage I/II	-20.4882269908051
Stage I/II	-4.21799383509775
Stage III/IV	4.27104617322455
Stage III/IV	60.0123763962809
Stage III/IV	13.3321298799885
Stage III/IV	14.2859107342539
Stage I/II	-29.7633864222389
Stage III/IV	NA
Stage I/II	NA
Stage I/II	40.5815772815467
Stage III/IV	NA
Stage III/IV	NA
Stage III/IV	46.2776294331106
Stage III/IV	NA
Stage I/II	-26.7385728980193
Stage III/IV	39.2434096984302
Stage III/IV	NA
Stage III/IV	117.448196058384
Stage III/IV	2.10269633093951
Stage III/IV	NA
