avg_log2FC.snATAC	avg_log2FC.snRNA	peak2gene_type	Gene	highlight
0.199672257487461	0.706079570373589	Promoter	ABTB2	FALSE
-0.232932944953516	0.101733415285868	Promoter	ACLY	FALSE
-0.409748058411996	-0.258407598527922	Promoter	ACO1	FALSE
-0.468196517775168	-0.219369622451947	Promoter	ACSS1	FALSE
-0.316537203188337	-0.572631810019697	Promoter	ADCY9	FALSE
-0.435681202692801	0.00498892617593616	Promoter	AFG3L2	FALSE
-0.283715844399487	-0.193032968551103	Promoter	AFMID	FALSE
-0.654212029004446	-0.835316155569408	Promoter	ALDH1L1	FALSE
0.134427261062305	0.379223469548525	Promoter	ARFGEF3	FALSE
-0.306813284793442	-0.642883359516392	Promoter	ARHGAP24	FALSE
-0.494689100984264	-0.646915282646939	Promoter	ARHGAP32	FALSE
-0.595771293869331	-0.510506063665978	Promoter	ARID5B	FALSE
-0.328530873377253	0.197153013515857	Promoter	ARPC2	FALSE
-0.300059350389457	-0.209150653345989	Promoter	BAIAP2	FALSE
-0.490952818049336	-0.679117676058969	Promoter	BBS9	FALSE
0.313979396498474	0.504244400526968	Promoter	BTBD11	FALSE
-0.295565085005719	-0.514427010748635	Promoter	CAMKMT	FALSE
-0.385310792598428	0.225903127669226	Promoter	CARS2	FALSE
-0.40047577500172	0.269328121823015	Promoter	CASP8	FALSE
-0.745937651779253	-0.662723221581011	Promoter	CCDC198	FALSE
-0.429949310916796	-0.620358627390729	Promoter	CCND3	FALSE
-0.420573207422491	-1.01628791675636	Promoter	CCSER1	FALSE
-0.210903315585474	-0.256621403958424	Promoter	CEP70	FALSE
-0.27662739236102	0.224324770545457	Promoter	CNKSR3	FALSE
-1.10325470623913	-1.26670980980075	Promoter	COL8A1	FALSE
-0.360606133639992	-0.494767095638456	Promoter	CPEB3	FALSE
-0.578656067891913	-0.436878364400707	Promoter	DICER1	FALSE
-0.363045666078648	-0.536911550804813	Promoter	DIP2C	FALSE
-0.268907418457259	-0.536911550804813	Promoter	DIP2C	FALSE
-0.651792998366511	-0.447071947957546	Promoter	DIXDC1	FALSE
-0.376026280357038	-0.447071947957546	Promoter	DIXDC1	FALSE
-0.404718019075003	-0.447071947957546	Promoter	DIXDC1	FALSE
-0.424126568864511	-0.618910800510732	Promoter	DLC1	TRUE
-0.253035952079415	-0.760779732840304	Promoter	DNAJC1	FALSE
-0.210085738987195	-0.35012139933809	Promoter	DNM1	FALSE
-0.33676963358859	-0.462076896070744	Promoter	DPY19L2	FALSE
-0.270409701722425	-0.570345063217133	Promoter	DYNC2H1	FALSE
-0.293710540572237	-0.55885688622344	Promoter	EDA	FALSE
0.680914798804798	0.922933100304886	Promoter	EPHA6	TRUE
-0.351494982960097	-0.347269547905015	Promoter	ERC1	FALSE
-0.32108001424332	-0.390621795967821	Promoter	F8	FALSE
-0.336652985105248	0.0414391513346037	Promoter	FAM219A	FALSE
-0.241026682026639	-0.473561648607086	Promoter	FMN1	FALSE
-0.354415741945431	0.011634362995229	Promoter	FOSL2	FALSE
-0.351861972152862	0.011634362995229	Promoter	FOSL2	FALSE
-0.555222294216906	-1.24129923334884	Promoter	FRMD3	FALSE
-0.646503008896485	-0.535590692553133	Promoter	FRMD6	FALSE
-0.208216749181581	-0.0836862289607202	Promoter	GOT1	FALSE
-0.748955868263178	-0.921752365225231	Promoter	GPHN	FALSE
-0.392128338062905	0.217994641241202	Promoter	GSR	FALSE
-0.422781454291287	-0.194149103336143	Promoter	HECTD2	FALSE
-0.359669526997083	-0.194149103336143	Promoter	HECTD2	FALSE
-0.213191581162268	0.263995754127761	Promoter	HK1	FALSE
-0.53968492546075	-1.07138149399202	Promoter	IGF1R	FALSE
-0.379538904701326	-1.07138149399202	Promoter	IGF1R	FALSE
-0.287417605691145	-0.445261017261617	Promoter	INPP5F	FALSE
-0.356572259524415	-0.744257417313885	Promoter	ITGA1	FALSE
-0.256984474080792	-0.504112537642882	Promoter	ITPR2	FALSE
-0.820350462883655	-0.257985311133134	Promoter	KCNC3	FALSE
-0.409988963739051	-0.257985311133134	Promoter	KCNC3	FALSE
-0.245188431239972	0.172610135473507	Promoter	KDM1B	FALSE
-0.270752276839139	-0.546524529893762	Promoter	KHDRBS3	FALSE
-0.390797639203581	-0.361549743141613	Promoter	KIF13B	FALSE
-0.511199903683465	-0.530433745272691	Promoter	LGI4	FALSE
-0.335110139776273	0.322818900141887	Promoter	MALT1	FALSE
