ACO1	ACSM2A	ACSM2B	ACSS1	ADCY9	AFMID	ALDH18A1	ALDH1L1	ARHGAP24	ARHGAP28	ARHGAP32	ARHGAP42	BAIAP2	C3	CCND3	CDH16	CES3	CMBL	CPEB3	CTBP2	DLC1	EDA	EFNA5	EPHA6	GOT1	IGF1R	INPP5F	KIF13B	MAPK9	MAPT	MXI1	NR6A1	PDK4	PGBD5	PRICKLE2	PTPRF	PTPRJ	RAPGEF5	SERPINA1	SLC22A4	SLC25A37	SLC5A1	SQSTM1	SYNPO	TCF7L2	TGFBR3	TM7SF3	TNFRSF14	TSC22D3	ZBTB16
HALLMARK_ESTROGEN_RESPONSE_EARLY	0	0	0	0	-0.572631810019697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.618910800510732	0	0	0	0	-1.07138149399202	-0.445261017261617	0	0	-0.60144681034755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HALLMARK_HEME_METABOLISM	0	0	0	0	0	0	0	-0.835316155569408	0	0	0	0	0	0.447778378788452	-0.620358627390729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.198574077070385	0	0	0	0	0	0	0	0	0.39352437378108	-0.544586141049416	0	0	0	0	0	0	0	0	0
HALLMARK_KRAS_SIGNALING_DN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.434185381114234	0	0	-0.494767095638456	0	0	0	0	0	0	0	0	0	0	0	0	-0.317438281044096	0	0	0	0	-0.639300235280596	0	0	0	0	0	0	0.0146105611962221	0	0	0	0	0	-0.15877924143836
HALLMARK_P53_PATHWAY	0	0	0	0	0	0	0	0	0	0	0	0	-0.209150653345989	0	-0.620358627390729	0	0	0	0	0	0	0	0	0	0	0	0	-0.361549743141613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.418778674722892	0	0	-0.15877924143836
KEGG_ADHERENS_JUNCTION	0	0	0	0	0	0	0	0	0	0	0	0	-0.209150653345989	0	0	0	0	0	0	0	0	0	0	0	0	-1.07138149399202	0	0	0	0	0	0	0	0	0	0.219377426585917	-0.639300235280596	0	0	0	0	0	0	0	-0.296182875807168	0	0	0	0	0
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	-0.258407598527922	0	0	0	0	-0.193032968551103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REACTOME_BIOLOGICAL_OXIDATIONS	0	-0.471654056867351	-0.553844291170781	-0.219369622451947	0	0	0	0	0	0	0	0	0	0	0	0	-1.26109649999879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18011891119743	0.922933100304886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REACTOME_RHOA_GTPASE_CYCLE	0	0	0	0	0	0	0	0	-0.642883359516392	-0.571465678398204	-0.646915282646939	-1.39912015833923	0	0	0	0	0	0	0	0	-0.618910800510732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.55885688622344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.467245099100019	0	0
WP_AMINO_ACID_METABOLISM	0	0	0	-0.219369622451947	0	0	0.34299176614976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0836862289607202	0	0	0	0	0	0	0	-1.05529994429093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_BRAINDERIVED_NEUROTROPHIC_FACTOR_BDNF_SIGNALING_PATHWAY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197547835101267	-0.60144681034755	0	0	0	0	0	0.219377426585917	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WP_NUCLEAR_RECEPTORS_METAPATHWAY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.26109649999879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.05529994429093	0	0	0	0	0	0	0	0	-0.719011356978614	0	0	0	-0.388720961459545	0	0	-0.919721750184333	0
WP_PATHWAYS_IN_CLEAR_CELL_RENAL_CELL_CARCINOMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.352240878226734	0	0	0	0.743017465196154	0	0	0	0	0	0	0	0	0	0	0	0
WP_WNT_SIGNALING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.620358627390729	0	0	0	0	-0.570061160604884	0	0	0	0	0	0	0	0	0.197547835101267	0	0	0	0	0	-0.577138475706345	0	0	0	0	0	0	0	0	0	-0.296182875807168	0	0	0	0	0
