chr	start	end	value	genesymbol_deg
chr10	99782640	99852594	0.5	ABCC2
chr1	226144679	226186741	0.10491266678395	ACBD3
chr2	177392746	177567024	0.169062063132102	AGPS
chr20	63272785	63289790	0.294721429579653	ARFGAP1
chr20	48921711	49036693	0.197343653511702	ARFGEF2
chr11	46677080	46700619	0.282425471341298	ARHGAP1
chr5	78777209	78986087	0.382872927376848	ARSB
chr3	130850595	131016712	0.252842291256048	ATP2C1
chr19	1985438	2034881	0.206477801442549	BTBD2
chr7	74964705	75031528	0.395918943978199	CASTOR2
chr1	150960583	150975003	0.437547508705549	CERS2
chr11	46743048	46846308	0.0926594906467493	CKAP5
chr17	2689386	2712663	0.289236941726703	CLUH
chr7	130506238	130668748	0.27838005753345	COPG2
chr1	114716913	114758676	0.1433441115025	CSDE1
chr1	40979688	41012565	0.3097456573656	CTPS1
chr20	45890144	45898949	0.401438464110949	CTSA
chr5	177456608	177474401	0.212127840568151	DBN1
chr12	32679200	32745650	0.181886854582398	DNM1L
chr7	2354086	2380745	0.0848957012506482	EIF3B
chr15	44537125	44563029	0.120231869344749	EIF3J
chr11	32583798	32606264	0.136714829199299	EIF3M
chr3	184314495	184335358	0.191269639997252	EIF4G1
chr5	138506095	138543236	0.198929293105703	ETF1
chr7	152025674	152122340	0.5	GALNT11
chr7	127580628	127593611	0.138427257953751	GCC1
chr2	108449191	108509415	0.206823282852202	GCC2
chr2	241227264	241317061	0.202598916149451	HDLBP
chr20	31514410	31577923	0.5	HM13
chrX	154010506	154019902	0.239699126744853	IRAK1
chr8	70635318	70669185	0.468859163919952	LACTB2
chrX	51803007	51902354	0.412010992311302	MAGED1
chr3	47850690	48089272	0.172396546058401	MAP4
chr7	128476729	128506602	0.162643473306602	METTL2B
chr3	113716458	113746300	0.115860838583	NAA50
chr8	24950955	24956721	0.5	NEFL
chr6	31857659	31862905	0.293878515202703	NEU1
chr9	33461353	33473930	0.1787937289971	NOL6
chr7	33014130	33062796	0.5	NT5C3A
chr19	48900312	48923372	0.183552177314599	NUCB1
chr17	29255839	29294148	0.18821133939915	NUFIP2
chrX	129539849	129592561	0.208133689718849	OCRL
chr5	14664664	14699850	0.291555300794499	OTULIN
chr11	73876699	73931114	0.20669749753295	PAAF1
chr10	103396626	103446294	0.132394880316102	PDCD11
chr1	47183582	47191044	0.389126859231798	PDZK1IP1
chr1	10472288	10630758	0.209065731610853	PEX14
chr2	135052292	135176394	0.141832263301197	RAB3GAP1
chr1	220148293	220272453	0.122757868094748	RAB3GAP2
chr5	87267883	87391931	0.12124474282945	RASA1
chr13	48303744	48599436	0.156618899706199	RB1
chr12	120196699	120201235	0.162004012419352	RPLP0
chr16	18781295	18790383	0.1936866827938	RPS15A
chr15	82536750	82540459	0.144916690322752	RPS17
chr6	33272075	33276511	0.214286070533799	RPS18
chr4	70704204	70808619	0.489091383969548	RUFY3
chr20	44496221	44522085	0.334145142138503	SERINC3
chr5	132369710	132395613	0.5	SLC22A5
chr2	200305881	200482264	0.266237463154052	SPATS2L
chr15	40844018	40858207	0.5	SPINT1
chr20	37344685	37406050	0.351590241751502	SRC
chr12	15882387	15903478	0.228475053768697	STRAP
chr1	165724293	165827755	0.499936969160849	TMCO1
chr7	128954180	129055173	0.2193599896822	TNPO3
chr6	18128311	18155077	0.3493626428012	TPMT
chr5	892884	919357	0.433799247185949	TRIP13
chr1	154220179	154271510	0.135734177007897	UBAP2L
chr7	129830732	129952960	0.231614820032551	UBE2H
chr11	18529609	18588747	0.1307247341786	UEVLD
chr1	150067279	150145329	0.182712612064197	VPS45
chr7	93232340	93361123	0.108137664993802	VPS50
chr17	508503	721717	0.122260077471452	VPS53
chr7	29806486	29917066	0.5	WIPF3
