chr	start	end	value
chr10	50799409	50885675	-0.263927098296243
chr17	69244311	69327244	-0.35730420203367
chr3	100749156	100993515	0.755400743380148
chr5	149141483	149260542	0.0763955656237476
chr9	133233278	133276024	-0.441220865190681
chrNA	NA	NA	-0.0781551873157265
chr9	32384603	32454769	-0.258407598527922
chr4	184755595	184826818	-0.50806742877151
chr16	20451461	20487669	-0.471654056867351
chr16	20536226	20576427	-0.553844291170781
chr20	25006230	25058980	-0.219369622451947
chr12	80936414	81261210	-0.643373935259823
chr8	24294069	24359014	-0.510809772928852
chr16	3953387	4116442	-0.572631810019697
chr7	44104345	44114562	-0.892174549152241
chr2	99545419	100192428	-0.833915207892463
chr17	78187317	78207701	-0.193032968551103
chr7	15200317	15562015	-0.860317962517187
chr14	32329298	32837684	-0.810527718655336
chr1	243488233	243851079	-0.684440559714172
chr9	72900671	73080442	-0.43290427373277
chr3	126103562	126197994	-0.835316155569408
chr15	84817356	84873479	-0.454034195109347
chr2	94791103	94857282	-0.551787616071618
chr5	10564070	10657816	-0.370584180048442
chr12	100717526	101128641	-0.78420758672989
chr2	200586014	200677064	-0.184580109710256
chr4	147732063	148072776	-0.422036725930768
chr4	85475150	86002668	-0.642883359516392
chr18	6729716	6915716	-0.571465678398204
chr11	128965060	129279324	-0.646915282646939
chr11	100687288	100993941	-1.39912015833923
chrX	11117651	11665920	-0.326398699570301
chr10	61901684	62096944	-0.510506063665978
chr17	46274784	46361797	-0.0232518490065057
chr11	62337448	62393412	-0.188853707922469
chr18	33578219	33751195	-0.650762702564451
chr17	81035122	81117434	-0.209150653345989
chr11	27040725	27127809	-0.336830471743721
chr7	33109557	33877180	-0.679117676058969
chr17	60677453	61392838	-0.26008269466909
chr3	53328963	53813733	-0.104839598248953
chr10	18140424	18543557	-0.915608826006104
chr7	93424486	93574730	-0.67876649946152
chr2	44361947	44772592	-0.514427010748635
chr2	158171073	158456753	-0.231148530328828
chr4	76312997	76421868	-0.342552624281463
chr14	57469300	57493867	-0.662723221581011
chr2	55287842	55419895	-0.448037219938924
chr6	41934934	42050357	-0.620358627390729
chr4	90127535	91601913	-1.01628791675636
chr16	66908122	66918917	-0.434185381114234
chr20	61252261	61940617	-1.24083272286321
chr20	5126879	5197887	-0.120756115758268
chr3	138494344	138594538	-0.256621403958424
chr16	66961245	66975149	-1.26109649999879
chr15	57375967	57550717	-0.306277761255171
chr12	101696947	101744140	-0.215006563093769
chr18	26906481	27185308	-0.892967582929268
chr2	26581205	26641366	-0.558425376367377
chr14	103519667	103522833	-0.209478544981907
chr13	95433604	95579759	-0.228133110629577
chr16	74408270	74421953	-0.333868831826013
chr16	70173322	70187361	-0.0799136395566234
chr14	95181940	95319908	-0.682224030287664
chr5	10275875	10307902	-0.13935205352734
chr16	66614750	66696743	-0.17537106227187
chr10	102918294	103090222	-0.373196827646882
chr9	17134982	17503923	-0.561028448883786
chr2	164653624	164843679	-0.302218514543753
chr2	227164624	227314792	-0.20271181785531
chr2	227002714	227164453	-0.171978601700059
chr3	99638475	99799226	-1.26670980980075
chr10	92046692	92291078	-0.494767095638456
chr12	68842197	68971570	-0.176085264048459
chr8	96645242	97149654	-0.342821243141078
chr12	93677375	93894840	-0.465683020321466
chr13	20403666	20525873	-0.338827958818034
chr10	124984317	125161170	-0.570061160604884
chr10	65912457	67763637	-0.73809156846067
chr8	64587763	64798737	-0.49840833019496
chr9	87497228	87708634	-0.381127399209928
chr10	72273919	72276036	-0.301153281961148
chr1	162631373	162787405	-0.175022872732336
chrY	12904108	12920478	-0.0934863061106269
chr8	119873717	120050918	0.736957931485986
chr10	12068954	12123221	-0.449115904093599
chr14	95086228	95158010	-0.436878364400707
chr10	274190	689668	-0.536911550804813
chr11	111927144	112022653	-0.447071947957546
chr8	13083361	13604610	-0.618910800510732
chr11	83455012	85627922	-2.10737577583909
chr7	21543039	21901839	-0.727036312245132
chr10	21756548	22003769	-0.760779732840304
chr9	128191655	128255248	-0.35012139933809
chr2	161992245	162074394	-0.0858604165190341
chr12	63558913	63668939	-0.462076896070744
chr8	104330324	104467055	-0.176742052628834
chr11	103109410	103479863	-0.570345063217133
chr2	43774039	43810010	-0.34441185424572
chr1	43164175	43270936	-0.793092958042283
chrX	69616067	70039472	-0.55885688622344
chr17	47323290	47441312	-0.167527469606929
chr11	31509755	31790324	-0.415054107813155
chr10	117542445	117549546	-0.373497308464178
chr20	36091504	36232799	-0.401055699276138
chr12	990509	1495933	-0.347269547905015
chr1	8004404	8026309	-0.427996119524416
chr6	151656691	152129619	-0.442583021918311
chr1	216503246	217137755	-1.33747059655065
chr2	75469302	75569722	-0.05134086199337
chrX	154835788	155026940	-0.390621795967821
chr4	151409176	151670503	-0.342518431980674
chr9	95099054	95426796	-0.344996204515944
chr19	38941401	38975742	-0.372666212123124
