chr	start	end	value	genesymbol_deg
chr1	150218417	150236156	-0.316767114928652	ANP32E
chr18	6729716	6915716	-0.5	ARHGAP28
chr14	58298504	58373887	-0.231452989314651	ARID4A
chr14	96279195	96363341	-0.26262575160445	ATG2B
chr4	121824329	121870487	-0.276465399860399	BBS7
chr16	67666814	67668757	-0.416782643720651	C16orf86
chr18	46173553	46266992	-0.259661037981648	C18orf25
chr17	48070052	48101478	-0.270229929877651	CBX1
chr19	41310172	41324873	-0.209577005064151	CCDC97
chr4	55948871	56033361	-0.274619007323	CEP135
chr20	35455164	35519280	-0.149238204589	CEP250
chr2	65056366	65087004	-0.268725539799899	CEP68
chr14	95181940	95319908	-0.390526382789901	CLMN
chr15	63907036	64072033	-0.461562687056499	DAPK2
chrX	70444835	70505490	-0.192663401101349	DLG3
chr20	36091504	36232799	-0.304217735993848	EPB41L1
chr22	39994954	40043534	-0.302791702820247	FAM83F
chr16	2883213	2899382	-0.196118213711451	FLYWCH2
chr20	34844720	34872856	-0.330003403158301	GGT7
chr7	79768028	80226181	-0.37798573898375	GNAI1
chr11	67583742	67586656	-0.5	GSTP1
chr14	81175452	81221377	-0.236451700255646	GTF2A1
chr17	74950742	74973166	-0.437258014090002	HID1
chrX	81113699	81201913	-0.323828782665103	HMGN5
chr11	78015715	78046191	-0.5	KCTD14
chr11	64803510	64811294	-0.216968024611351	MEN1
chr17	29071122	29180398	-0.171337706227551	MYO18A
chr3	25718944	25790039	-0.297983720920399	NGLY1
chr10	15102584	15168693	-0.317485628739302	NMT2
chr20	1442162	1473842	-0.132106637653898	NSFL1C
chr16	2039815	2047866	-0.342421572078553	NTHL1
chr19	42297033	42303546	-0.2715456688172	PAFAH1B3
chr11	72576141	72674591	-0.411286043858002	PDE2A
chr12	8913896	8941467	-0.318637446513701	PHC1
chr9	128920966	128942041	-0.5	PHYHD1
chr20	8077251	8968360	-0.450921785578199	PLCB1
chr8	37762595	37779768	-0.20139938408925	PLPBP
chr1	147155106	147172550	-0.32032996068315	PRKAB2
chr17	76309478	76384521	-0.211284086377201	PRPSAP1
chr16	30650717	30656413	-0.242475434131801	PRR14
chr14	35538352	35809304	-0.213433995679104	RALGAPA1
chr11	9778667	10294219	-0.189232958273053	SBF2
chr2	17663812	17800242	-0.2728316056922	SMC6
chr11	65027439	65040572	-0.197399622957601	SNX15
chr14	50117130	50231578	-0.183207384024701	SOS2
chr16	68843531	69085182	-0.22278070715215	TANGO6
chr16	67842320	67844195	-0.338106511690452	THAP11
chr11	76349898	76381132	-0.199929958717899	THAP12
chr4	153152163	153339319	-0.136014468600752	TRIM2
chr14	93207241	93229215	-0.173056386276048	UBR7
chr8	78666089	78719765	-0.257214550316402	ZC2HC1A
